"Altitude
[m]","Temperature
[Kelvin]","Pressure
[pascal]"
1358,279.323,86039.8
1458,278.673,84992.7
1558,278.023,83955.9
1658,277.373,82929.4
1758,276.723,81913.1
1858,276.073,80906.8
1958,275.423,79910.6
2058,274.773,78924.4
2158,274.123,77948
2258,273.473,76981.5
2358,272.823,76024.7
2458,272.173,75077.5
2558,271.523,74139.9
2658,270.873,73211.8
2758,270.223,72293.1
2858,269.573,71383.8
2958,268.923,70483.8
3058,268.273,69593
3158,267.623,68711.3
3258,266.973,67838.7
3358,266.323,66975.1
3458,265.673,66120.4
3558,265.023,65274.6
3658,264.373,64437.5
3758,263.723,63609.2
3858,263.073,62789.5
3958,262.423,61978.4
4058,261.773,61175.8
4158,261.123,60381.6
4258,260.473,59595.8
4358,259.823,58818.3
4458,259.173,58049
4558,258.523,57287.9
4658,257.873,56534.9
4758,257.223,55789.9
4858,256.573,55052.9
4958,255.923,54323.8
5058,255.273,53602.5
5158,254.623,52889
5258,253.973,52183.3
5358,253.323,51485.1
5458,252.673,50794.6
5558,252.023,50111.6
5658,251.373,49436
5758,250.723,48767.8
5858,250.073,48107
5958,249.423,47453.4
6058,248.773,46807
6158,248.123,46167.8
6258,247.473,45535.7
6358,246.823,44910.5
6458,246.173,44292.4
6558,245.523,43681.2
6658,244.873,43076.8
6758,244.223,42479.2
6858,243.573,41888.3
6958,242.923,41304.1
7058,242.273,40726.6
7158,241.623,40155.5
7258,240.973,39591
7358,240.323,39032.9
7458,239.673,38481.2
7558,239.023,37935.9
7658,238.373,37396.8
7758,237.723,36863.9
7858,237.073,36337.2
7958,236.423,35816.6
8058,235.773,35302.1
8158,235.123,34793.6
8258,234.473,34291
8358,233.823,33794.3
8458,233.173,33303.5
8558,232.523,32818.4
8658,231.873,32339.1
8758,231.223,31865.5
8858,230.573,31397.4
8958,229.923,30935
9058,229.273,30478.1
9158,228.623,30026.7
9258,227.973,29580.7
9358,227.323,29140.1
9458,226.673,28704.9
9558,226.023,28274.9
9658,225.373,27850.1
9758,224.723,27430.5
9858,224.073,27016.1
9958,223.423,26606.7
10058,222.773,26202.4
10158,222.123,25803
10258,221.473,25408.6
10358,220.823,25019.1
10458,220.173,24634.5
10558,219.523,24254.6
10658,218.873,23879.5
10758,218.223,23509.2
10858,217.573,23143.5
10958,216.923,22782.4
11058,216.65,22426
11158,216.65,22075.2
11258,216.65,21729.8
11358,216.65,21389.8
11458,216.65,21055.2
11558,216.65,20725.8
11658,216.65,20401.5
11758,216.65,20082.3
11858,216.65,19768.1
11958,216.65,19458.9
12058,216.65,19154.4
12158,216.65,18854.7
12258,216.65,18559.8
12358,216.65,18269.4
12458,216.65,17983.6
12558,216.65,17702.2
12658,216.65,17425.2
12758,216.65,17152.6
12858,216.65,16884.3
12958,216.65,16620.1
13058,216.65,16360.1
13158,216.65,16104.1
13258,216.65,15852.2
13358,216.65,15604.2
13458,216.65,15360
13558,216.65,15119.7
13658,216.65,14883.2
13758,216.65,14650.3
13858,216.65,14421.1
13958,216.65,14195.5
14058,216.65,13973.4
14158,216.65,13754.8
14258,216.65,13539.6
14358,216.65,13327.8
14458,216.65,13119.3
14558,216.65,12914
14658,216.65,12712
14758,216.65,12513.1
14858,216.65,12317.3
14958,216.65,12124.6
15058,216.65,11934.9
15158,216.65,11748.2
15258,216.65,11564.4
15358,216.65,11383.5
15458,216.65,11205.4
15558,216.65,11030.1
15658,216.65,10857.5
15758,216.65,10687.6
15858,216.65,10520.4
15958,216.65,10355.8
16058,216.65,10193.8
16158,216.65,10034.3
16258,216.65,9877.33
16358,216.65,9722.8
16458,216.65,9570.68
16558,216.65,9420.95
16658,216.65,9273.55
16758,216.65,9128.47
16858,216.65,8985.65
16958,216.65,8845.07
17058,216.65,8706.69
17158,216.65,8570.47
17258,216.65,8436.38
17358,216.65,8304.39
17458,216.65,8174.47
17558,216.65,8046.58
17658,216.65,7920.69
17758,216.65,7796.77
17858,216.65,7674.79
17958,216.65,7554.71
18058,216.65,7436.52
18158,216.65,7320.17
18258,216.65,7205.65
18358,216.65,7092.91
18458,216.65,6981.94
18558,216.65,6872.71
18658,216.65,6765.19
18758,216.65,6659.34
18858,216.65,6555.16
18958,216.65,6452.6
19058,216.65,6351.65
19158,216.65,6252.28
19258,216.65,6154.46
19358,216.65,6058.17
19458,216.65,5963.39
19558,216.65,5870.09
19658,216.65,5778.25
19758,216.65,5687.85
19858,216.65,5598.86
19958,216.65,5511.27
20058,216.708,5425.05
20158,216.808,5340.22
20258,216.908,5256.75
20358,217.008,5174.62
20458,217.108,5093.81
20558,217.208,5014.31
20658,217.308,4936.07
20758,217.408,4859.1
20858,217.508,4783.36
20958,217.608,4708.83
21058,217.708,4635.5
21158,217.808,4563.34
21258,217.908,4492.34
21358,218.008,4422.47
21458,218.108,4353.73
21558,218.208,4286.08
21658,218.308,4219.51
21758,218.408,4154.01
21858,218.508,4089.55
21958,218.608,4026.13
22058,218.708,3963.71
22158,218.808,3902.29
22258,218.908,3841.85
